player_name,line,emp_prob_last_3,emp_prob_last_5,emp_prob_last_7,emp_prob_last_10
Callum Wilkie,14.5,0.6666666666666666,0.6,0.7142857142857143,0.8
Callum Wilkie,18.5,0.33333333333333337,0.2,0.42857142857142855,0.5
Callum Wilkie,19.5,0.33333333333333337,0.2,0.42857142857142855,0.5
Callum Wilkie,24.5,0,0,0,0.1
Callum Wilkie,29.5,0,0,0,0.1
Callum Wilkie,34.5,0,0,0,0
Callum Wilkie,39.5,0,0,0,0
Calsher Dear,9.5,0.6666666666666666,0.4,0.42857142857142855,0.5
Calsher Dear,14.5,0,0,0,0
Cam Rayner,9.5,1,1,1,1
Cam Rayner,14.5,0.6666666666666666,0.8,0.8571428571428571,0.7
Cam Rayner,19.5,0.33333333333333337,0.4,0.42857142857142855,0.3
Cam Rayner,24.5,0,0,0,0
Cam Rayner,29.5,0,0,0,0
Cameron Zurhaar,9.5,1,0.8,0.7142857142857143,0.6
Cameron Zurhaar,14.5,0,0,0,0
Cameron Zurhaar,19.5,0,0,0,0
Chad Warner,9.5,1,1,1,1
Chad Warner,14.5,1,1,1,1
Chad Warner,19.5,0.6666666666666666,0.6,0.5714285714285714,0.6
Chad Warner,24.5,0.33333333333333337,0.2,0.14285714285714288,0.3
Chad Warner,29.5,0,0,0,0.10000000000000002
Chad Warner,34.5,0,0,0,0
Charlie Cameron,9.5,0,0.39999999999999997,0.2857142857142857,0.4
Charlie Cameron,14.5,0,0,0,0
Charlie Comben,9.5,0.33333333333333337,0.4,0.5714285714285714,0.6
Charlie Comben,14.5,0,0,0.14285714285714288,0.2
Charlie Comben,19.5,0,0,0,0.1
Charlie Curnow,9.5,1,1,0.7142857142857143,0.8
Charlie Curnow,14.5,0.33333333333333337,0.4,0.2857142857142857,0.3
Charlie Curnow,19.5,0,0,0,0
Charlie Dean,9.5,0.6666666666666666,0.4,0.5714285714285714,0.6
Charlie Dean,14.5,0.33333333333333337,0.2,0.14285714285714288,0.10000000000000002
Charlie Dean,19.5,0,0,0,0
Charlie Spargo,9.5,0.33333333333333337,0.6,0.5714285714285714,0.6
Charlie Spargo,14.5,0,0,0.14285714285714288,0.1
Charlie Spargo,19.5,0,0,0,0
Chayce Jones,9.5,0.33333333333333337,0.4,0.5714285714285714,0.7
Chayce Jones,14.5,0,0,0,0.3
Chayce Jones,19.5,0,0,0,0
Christian Petracca,14.5,1,1,1,1
Christian Petracca,19.5,1,1,0.8571428571428571,0.9
Christian Petracca,24.5,0.33333333333333337,0.4,0.42857142857142855,0.5
Christian Petracca,25.5,0.33333333333333337,0.4,0.42857142857142855,0.5
Christian Petracca,29.5,0.33333333333333337,0.4,0.2857142857142857,0.3
Christian Petracca,34.5,0,0,0,0
Christian Petracca,39.5,0,0,0,0
Christian Salem,9.5,1,1,1,1
Christian Salem,14.5,1,1,1,0.9
Christian Salem,19.5,1,1,0.7142857142857143,0.7
Christian Salem,22,0.6666666666666666,0.6,0.42857142857142855,0.4
Christian Salem,24.5,0.6666666666666666,0.4,0.2857142857142857,0.3
Christian Salem,29.5,0,0,0,0.10000000000000002
Christian Salem,34.5,0,0,0,0
Christian Salem,39.5,0,0,0,0
Clay Hall,9.5,1,1,0.8571428571428571,0.9
Clay Hall,14.5,0.6666666666666666,0.8,0.5714285714285714,0.7
