match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_id,fixed_market_id
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Matt Roberts,Sydney Swans,119.5,6.5,BetRight,North Melbourne Kangaroos,Fantasy Points - Matt Roberts,47667711,120+ Fantasy Points,5,267813964
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,James Rowbottom,Sydney Swans,79.5,1.6,BetRight,North Melbourne Kangaroos,Fantasy Points - James Rowbottom,47667712,80+ Fantasy Points,1,267813965
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,James Rowbottom,Sydney Swans,89.5,2.15,BetRight,North Melbourne Kangaroos,Fantasy Points - James Rowbottom,47667712,90+ Fantasy Points,2,267813966
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,James Rowbottom,Sydney Swans,99.5,3.25,BetRight,North Melbourne Kangaroos,Fantasy Points - James Rowbottom,47667712,100+ Fantasy Points,3,267813967
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,James Rowbottom,Sydney Swans,109.5,5,BetRight,North Melbourne Kangaroos,Fantasy Points - James Rowbottom,47667712,110+ Fantasy Points,4,267813968
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,James Rowbottom,Sydney Swans,119.5,11,BetRight,North Melbourne Kangaroos,Fantasy Points - James Rowbottom,47667712,120+ Fantasy Points,5,267813969
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Nick Blakey,Sydney Swans,79.5,1.35,BetRight,North Melbourne Kangaroos,Fantasy Points - Nick Blakey,47667713,80+ Fantasy Points,1,267813970
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Nick Blakey,Sydney Swans,89.5,1.85,BetRight,North Melbourne Kangaroos,Fantasy Points - Nick Blakey,47667713,90+ Fantasy Points,2,267813971
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Nick Blakey,Sydney Swans,99.5,2.4,BetRight,North Melbourne Kangaroos,Fantasy Points - Nick Blakey,47667713,100+ Fantasy Points,3,267813972
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Nick Blakey,Sydney Swans,109.5,3.75,BetRight,North Melbourne Kangaroos,Fantasy Points - Nick Blakey,47667713,110+ Fantasy Points,4,267813973
