player_full_name,position,position_source
Jason Horne-Francis,MIDFIELDER,fitzroy_player_details
Jaspa Fletcher,MEDIUM_DEFENDER,fitzroy_player_details
Jasper Alger,MEDIUM_FORWARD,fitzroy_player_details
Jaxon Artemis,MEDIUM_DEFENDER,fitzroy_player_details
Jaxon Prior,MEDIUM_DEFENDER,fitzroy_player_details
Jay Polkinghorne,KEY_FORWARD,fitzroy_player_details
Jayden Laverde,KEY_DEFENDER,fitzroy_player_details
Jayden Nguyen,MEDIUM_FORWARD,fitzroy_player_details
Jayden Short,MEDIUM_DEFENDER,fitzroy_player_details
Jed Adams,KEY_DEFENDER,fitzroy_player_details
Jed Bews,MEDIUM_DEFENDER,fitzroy_player_details
Jed Walter,KEY_FORWARD,fitzroy_player_details
Jedd Busslinger,KEY_DEFENDER,fitzroy_player_details
Jeremy Cameron,KEY_FORWARD,fitzroy_player_details
Jeremy Howe,KEY_DEFENDER,fitzroy_player_details
Jeremy Sharp,MIDFIELDER_FORWARD,fitzroy_player_details
Jesse Dattoli,MIDFIELDER_FORWARD,fitzroy_player_details
Jesse Hogan,KEY_FORWARD,fitzroy_player_details
Jesse Mellor,MEDIUM_FORWARD,fitzroy_player_details
Jesse Motlop,MEDIUM_FORWARD,fitzroy_player_details
Jevan Phillipou,MEDIUM_FORWARD,fitzroy_player_details
Jhye Clark,MEDIUM_DEFENDER,fitzroy_player_details
Jobe Shanahan,KEY_FORWARD,fitzroy_player_details
Joe Berry,MEDIUM_FORWARD,fitzroy_player_details
Joe Fonti,MEDIUM_DEFENDER,fitzroy_player_details
Joe Pike,RUCK,fitzroy_player_details
Joe Richards,MEDIUM_FORWARD,fitzroy_player_details
Joel Amartey,KEY_FORWARD,fitzroy_player_details
Joel Cochran,KEY_DEFENDER,fitzroy_player_details
Joel Fitzgerald,MIDFIELDER,fitzroy_player_details
Joel Freijah,MIDFIELDER_FORWARD,fitzroy_player_details
Joel Hamling,KEY_DEFENDER,fitzroy_player_details
Joel Jeffrey,MEDIUM_DEFENDER,fitzroy_player_details
John Noble,MEDIUM_DEFENDER,fitzroy_player_details
Jonty Faull,KEY_FORWARD,fitzroy_player_details
Jordan Boyd,MEDIUM_DEFENDER,fitzroy_player_details
Jordan Clark,MEDIUM_DEFENDER,fitzroy_player_details
Jordan Croft,KEY_FORWARD,fitzroy_player_details
Jordan Dawson,MIDFIELDER,fitzroy_player_details
Jordan De Goey,MIDFIELDER_FORWARD,fitzroy_player_details
Jordan Ridley,MEDIUM_DEFENDER,fitzroy_player_details
Jordon Butts,KEY_DEFENDER,fitzroy_player_details
Jordon Sweet,RUCK,fitzroy_player_details
Josaia Delana,MEDIUM_FORWARD,fitzroy_player_details
Josh Battle,KEY_DEFENDER,fitzroy_player_details
Josh Daicos,MEDIUM_DEFENDER,fitzroy_player_details
Josh Dolan,MEDIUM_FORWARD,fitzroy_player_details
Josh Dunkley,MIDFIELDER,fitzroy_player_details
Josh Gibcus,KEY_DEFENDER,fitzroy_player_details
Josh Goater,MEDIUM_DEFENDER,fitzroy_player_details
Josh Kelly,MIDFIELDER,fitzroy_player_details
Josh Lai,MEDIUM_DEFENDER,fitzroy_player_details
Josh Lindsay,MEDIUM_DEFENDER,fitzroy_player_details
Josh Rachele,MEDIUM_FORWARD,fitzroy_player_details
Josh Sinn,MEDIUM_DEFENDER,fitzroy_player_details
Josh Smillie,MIDFIELDER,fitzroy_player_details
Josh Treacy,KEY_FORWARD,fitzroy_player_details
Josh Ward,MIDFIELDER,fitzroy_player_details
Josh Weddle,MEDIUM_DEFENDER,fitzroy_player_details
Josh Worrell,MEDIUM_DEFENDER,fitzroy_player_details
Joshua Draper,KEY_DEFENDER,fitzroy_player_details
Judd McVee,MEDIUM_DEFENDER,fitzroy_player_details
Judson Clarke,MEDIUM_DEFENDER,fitzroy_player_details
Justin McInerney,MIDFIELDER,fitzroy_player_details
Jy Farrar,MEDIUM_FORWARD,fitzroy_player_details
Jy Simpkin,MIDFIELDER,fitzroy_player_details
Jye Amiss,KEY_FORWARD,fitzroy_player_details
Jye Caldwell,MIDFIELDER,fitzroy_player_details
Kade Chandler,MEDIUM_FORWARD,fitzroy_player_details
Kai Lohmann,MEDIUM_FORWARD,fitzroy_player_details
Kalani White,RUCK,fitzroy_player_details
Kaleb Smith,MEDIUM_DEFENDER,fitzroy_player_details
Kane Farrell,MEDIUM_DEFENDER,fitzroy_player_details
Kane McAuliffe,MIDFIELDER,fitzroy_player_details
Karl Amon,MEDIUM_DEFENDER,fitzroy_player_details
