player_full_name,position
Riley Garcia,MEDIUM_FORWARD
Ed Richards,MIDFIELDER
Oskar Baker,MEDIUM_DEFENDER
Lachlan McNeil,MEDIUM_FORWARD
Jamarra Ugle-Hagan,KEY_FORWARD
Caleb Poulter,MEDIUM_FORWARD
Cody Weightman,MEDIUM_FORWARD
Jordan Croft,KEY_FORWARD
Luke Cleary,MEDIUM_DEFENDER
Harvey Gallagher,MEDIUM_DEFENDER
Sam Darcy,KEY_FORWARD
Ryley Sanders,MEDIUM_FORWARD
Arthur Jones,MIDFIELDER_FORWARD
Michael Sellwood,MEDIUM_DEFENDER
Jedd Busslinger,KEY_DEFENDER
Lachlan Smith,RUCK
Joel Freijah,MIDFIELDER_FORWARD
Lachie Jaques,MEDIUM_DEFENDER
Cooper Hynes,MEDIUM_FORWARD
Luke Kennedy,MIDFIELDER
James O'Donnell,KEY_DEFENDER
Josh Dolan,MEDIUM_FORWARD
Sam Davidson,MIDFIELDER
Zac Walker,KEY_DEFENDER
Liam Jones,KEY_DEFENDER
Taylor Duryea,MEDIUM_DEFENDER
Tom Liberatore,MIDFIELDER
Adam Treloar,MIDFIELDER_FORWARD
Jason Johannisen,MEDIUM_DEFENDER
Marcus Bontempelli,MIDFIELDER
James Harmes,MIDFIELDER
Rory Lobb,KEY_DEFENDER
Anthony Scott,MIDFIELDER
Bailey Williams,MIDFIELDER
Bailey Dale,MEDIUM_DEFENDER
Ryan Gardner,KEY_DEFENDER
Buku Khamis,KEY_DEFENDER
Mitch Lewis,KEY_FORWARD
Harry Morrison,MIDFIELDER
Lloyd Meek,RUCK
Ned Reeves,RUCK
James Worpel,MIDFIELDER
Massimo D'Ambrosio,MIDFIELDER
Dylan Moore,MEDIUM_FORWARD
Conor Nash,MIDFIELDER
Will Day,MIDFIELDER
Finn Maginness,MEDIUM_FORWARD
Sam Butler,MIDFIELDER
James Blanck,KEY_DEFENDER
Jack Ginnivan,MEDIUM_FORWARD
Jai Serong,KEY_DEFENDER
Connor Macdonald,MEDIUM_FORWARD
Josh Ward,MIDFIELDER
Seamus Mitchell,MEDIUM_DEFENDER
Jasper Scaife,KEY_FORWARD
Jai Newcombe,MIDFIELDER
William McCabe,KEY_FORWARD
Bodie Ryan,MEDIUM_DEFENDER
Nick Watson,MEDIUM_FORWARD
Cam Mackenzie,MIDFIELDER
Henry Hustwaite,MIDFIELDER
Josh Weddle,MEDIUM_DEFENDER
Max Ramsden,RUCK
Cody Anderson,MIDFIELDER_FORWARD
Noah Mraz,KEY_DEFENDER
Bailey Macdonald,MEDIUM_DEFENDER
Calsher Dear,KEY_FORWARD
Jaime Uhr-Henry,RUCK
Matt Hill,MEDIUM_FORWARD
Luke Breust,MEDIUM_FORWARD
Jack Gunston,KEY_FORWARD
Sam Frost,KEY_DEFENDER
Jarman Impey,MEDIUM_DEFENDER
Karl Amon,MEDIUM_DEFENDER
James Sicily,MEDIUM_DEFENDER
Tom Barrass,KEY_DEFENDER
Blake Hardwick,MEDIUM_FORWARD
Mabior Chol,KEY_FORWARD
Jack Scrimshaw,MEDIUM_DEFENDER
Josh Battle,KEY_DEFENDER
Changkuoth Jiath,MEDIUM_DEFENDER
Jack Henry,KEY_DEFENDER
Zach Guthrie,MEDIUM_DEFENDER
Gryan Miers,MEDIUM_FORWARD
Bailey Smith,MIDFIELDER
Mark O'Connor,MEDIUM_DEFENDER
Sam De Koning,KEY_DEFENDER
Tanner Bruhn,MIDFIELDER
Oliver Henry,KEY_FORWARD
Lawson Humphries,MEDIUM_DEFENDER
Max Holmes,MIDFIELDER
Shannon Neale,KEY_FORWARD
Toby Conway,RUCK
Oliver Wiltshire,MEDIUM_FORWARD
Mitch Knevitt,MIDFIELDER
Jhye Clark,MIDFIELDER
Ted Clohesy,MEDIUM_FORWARD
George Stevens,MIDFIELDER
Mitchell Edwards,RUCK
Oisin Mullin,MEDIUM_DEFENDER
Oliver Dempsey,MIDFIELDER
Jacob Molier,RUCK
Jay Polkinghorne,KEY_FORWARD
Joe Pike,RUCK
Connor O'Sullivan,KEY_DEFENDER
Xavier Ivisic,MEDIUM_FORWARD
Patrick Retschko,MIDFIELDER
Lennox Hofmann,KEY_DEFENDER
Keighton Matofai-Forbes,MEDIUM_FORWARD
Cillian Burke,MEDIUM_DEFENDER
Patrick Dangerfield,MEDIUM_FORWARD
Rhys Stanley,RUCK
Mitch Duncan,MEDIUM_DEFENDER
Cameron Guthrie,MIDFIELDER
Tom Stewart,MEDIUM_DEFENDER
Jeremy Cameron,KEY_FORWARD
Jed Bews,MEDIUM_DEFENDER
Jack Martin,MEDIUM_FORWARD
Jake Kolodjashnij,KEY_DEFENDER
Mark Blicavs,RUCK
Shaun Mannagh,MEDIUM_FORWARD
Tom Atkins,MIDFIELDER
Tyson Stengle,MEDIUM_FORWARD
Jack Bowes,MEDIUM_DEFENDER
Brad Close,MEDIUM_FORWARD
Harry Boyd,RUCK
Jack Higgins,MEDIUM_FORWARD
Paddy Dow,MIDFIELDER
Hunter Clark,MIDFIELDER
Liam Henry,MEDIUM_FORWARD
Max King,KEY_FORWARD
Liam Stocker,MEDIUM_DEFENDER
Ryan Byrnes,MEDIUM_DEFENDER
Jack Carroll,MIDFIELDER
Isaac Keeler,KEY_FORWARD
Nasiah Wanganeen-Milera,MEDIUM_DEFENDER
Max Heath,RUCK
Angus McLennan,MEDIUM_DEFENDER
Lance Collard,MEDIUM_FORWARD
Cooper Sharman,KEY_FORWARD
Mattaes Phillipou,KEY_FORWARD
Max Hall,MEDIUM_FORWARD
Marcus Windhager,MIDFIELDER
Mitch Owens,KEY_FORWARD
Anthony Caminiti,KEY_DEFENDER
Arie Schoenmaker,MEDIUM_DEFENDER
Alex Dodson,KEY_FORWARD
Hugo Garcia,MIDFIELDER
Angus Hastie,MEDIUM_DEFENDER
Darcy Wilson,MIDFIELDER_FORWARD
Patrick Said,MEDIUM_FORWARD
Tobie Travaglia,MIDFIELDER
James Barrat,KEY_DEFENDER
Hugh Boxshall,MIDFIELDER
Alixzander Tauru,KEY_DEFENDER
Liam O'Connell,MEDIUM_DEFENDER
Eamonn Armstrong,MEDIUM_DEFENDER
Jimmy Webster,MEDIUM_DEFENDER
Mason Wood,KEY_FORWARD
Jack Macrae,MIDFIELDER
Bradley Hill,MIDFIELDER_FORWARD
Jack Steele,MIDFIELDER
Callum Wilkie,KEY_DEFENDER
Zaine Cordy,KEY_DEFENDER
Zak Jones,MIDFIELDER
Dan Butler,MIDFIELDER_FORWARD
Rowan Marshall,RUCK
Dougal Howard,KEY_DEFENDER
Jack Sinclair,MEDIUM_DEFENDER
Jordan Ridley,MEDIUM_DEFENDER
Ben McKay,KEY_DEFENDER
Sam Draper,RUCK
Xavier Duursma,MIDFIELDER
Jye Caldwell,MIDFIELDER
Jaxon Prior,MEDIUM_DEFENDER
Harrison Jones,MIDFIELDER_FORWARD
